crime type: GAMBLING
SUM SQUARED ERROR: 0.17286076516128127
months with highest error:
6/2021 error 0.07097569740875966
10/2021 error 0.06359489430047398
9/2021 error 0.006004023268826197
7/2021 error 0.004951859611677852
5/2021 error 0.004037943063821732
4/2021 error 0.0036290769001005936
3/2021 error 0.003250335594357376
11/2020 error 0.002008845669298502
10/2020 error 0.0017601775891403974
9/2020 error 0.001533637058522566
8/2020 error 0.0013280027510895864
7/2020 error 0.0011420852154197482
6/2020 error 0.0009747268726007228
5/2020 error 0.000824802018372135
3/2020 error 0.0005729093266173529
1/2015 error 0.00040971704560012245
1/2020 error 0.0003780389816732618
2/2015 error 0.0003268154888278018
12/2019 error 0.0002995115877739944
3/2015 error 0.0002555999917362821
11/2019 error 0.00023233280672030625
4/2015 error 0.00019515633087417486
10/2019 error 0.00017560005135068172
7/2017 error 0.00016786256819860274
8/2017 error 0.0001672635242416745
6/2017 error 0.00016657598422150076
9/2017 error 0.00016478897142606223
5/2017 error 0.0001634255272981225
10/2017 error 0.00016048090223271414
4/2017 error 0.00015846482647570233
11/2017 error 0.00015441318348568953
3/2017 error 0.00015177938430359266
12/2017 error 0.00014669155578208603
5/2015 error 0.0001446021567507006
2/2017 error 0.00014348657756956755
1/2018 error 0.00013745363323962138
1/2017 error 0.00013373565649287886
9/2019 error 0.00012844260810014767
2/2018 error 0.00012686890429591704
3/2018 error 0.00011513873092473677
11/2016 error 0.00011061584306763465
6/2015 error 0.00010308699347209345
4/2018 error 0.000102496349376557
10/2016 error 9.770482105848284e-05
8/2019 error 9.002163693803924e-05
5/2018 error 8.920686944715491e-05
9/2016 error 8.425142549034976e-05
6/2018 error 7.556727488737627e-05
8/2016 error 7.05642762908264e-05
7/2015 error 6.979223942952318e-05
7/2018 error 6.190642326393414e-05
7/2019 error 5.95301724763316e-05
7/2016 error 5.6983867184094566e-05
8/2018 error 4.858504609350061e-05
8/2015 error 4.39311664922556e-05
6/2016 error 4.388256576745104e-05
6/2019 error 3.619312281762983e-05
9/2018 error 3.599574885635098e-05
5/2016 error 3.1664613511307614e-05
9/2015 error 2.474892065005248e-05
10/2018 error 2.4563010704073816e-05
4/2016 error 2.0766125726034642e-05
5/2019 error 1.9267269972773317e-05
11/2018 error 1.474318477904996e-05
3/2016 error 1.1655091653223862e-05
10/2015 error 1.1522521550311823e-05
4/2019 error 8.041269680516015e-06
12/2018 error 7.024498080673109e-06
2/2016 error 4.831374410763882e-06
11/2015 error 3.5608629064485467e-06
1/2019 error 1.9270515718703076e-06
3/2019 error 1.8356518004897959e-06
1/2016 error 8.26711006071324e-07
12/2015 error 2.047122567670891e-07
2/2019 error 2.8199369189906337e-09
