crime type: KIDNAPPING
SUM SQUARED ERROR: 0.40407704589417565
months with highest error:
5/2020 error 0.09908775174462729
4/2017 error 0.034942945531022035
6/2015 error 0.029668851820114472
2/2020 error 0.016605200753661644
12/2020 error 0.016507773711683518
5/2018 error 0.010546127389653328
3/2017 error 0.00751538024514861
5/2021 error 0.006640466224542094
7/2018 error 0.0066352541559187295
12/2016 error 0.006480954062704874
1/2017 error 0.006457631295724141
2/2016 error 0.006436861773811521
2/2017 error 0.006429322361770688
7/2015 error 0.006110986888802094
4/2016 error 0.005984419613169108
5/2015 error 0.005975735070885767
12/2017 error 0.005882209163836613
1/2018 error 0.005802538580634084
2/2015 error 0.005740014225990562
4/2018 error 0.005538754360386914
3/2020 error 0.005384508691936187
6/2018 error 0.005343367419637602
8/2018 error 0.0051335046442827804
9/2018 error 0.005023482015780042
10/2018 error 0.004910256856641027
12/2018 error 0.004674809217154567
4/2015 error 0.004360786054432316
4/2019 error 0.00417252674222474
6/2019 error 0.003908533938067515
9/2017 error 0.003398035162444896
1/2015 error 0.0033810132533578503
10/2019 error 0.0033626578388229545
1/2019 error 0.003309099206439398
12/2019 error 0.0030841826243111613
10/2016 error 0.0027702365303701954
7/2016 error 0.0027640532200670447
4/2020 error 0.002525385630119242
11/2019 error 0.0023508495828815255
7/2020 error 0.0021125426416099165
6/2017 error 0.0021009169896622428
3/2019 error 0.002072491073154454
8/2020 error 0.0019775308843543713
9/2020 error 0.0018442835208384546
6/2016 error 0.0017854364350701625
10/2020 error 0.0017130872610627225
11/2020 error 0.001584234710411858
8/2019 error 0.0015748162430773425
9/2015 error 0.0014999918624810176
9/2016 error 0.0013613017310391184
1/2016 error 0.0013360447792316794
1/2021 error 0.0013347606410373765
7/2017 error 0.001249827745659258
8/2016 error 0.0012472397440232753
2/2021 error 0.0012147538154499249
7/2019 error 0.0011427958637475555
3/2021 error 0.0010983200855008025
5/2019 error 0.0010027189242864164
11/2015 error 0.0009969582355572983
4/2021 error 0.0009857815380087606
6/2021 error 0.0007737078236781795
12/2015 error 0.0007380693442944187
5/2017 error 0.0007200843122141474
7/2021 error 0.0006748463126607087
8/2021 error 0.0005812272978954634
6/2020 error 0.0005762183338378423
3/2015 error 0.0005605521933087731
9/2021 error 0.0004932023483873762
10/2021 error 0.00041112892929008143
11/2021 error 0.00033537040254716827
9/2019 error 0.00031524590919565363
1/2020 error 0.00029469496039124756
10/2015 error 0.0002803137255539379
8/2015 error 0.0002781341725406864
11/2017 error 0.00021566035245230598
11/2016 error 0.00019463995585450723
3/2016 error 0.00018856475702708
10/2017 error 0.0001759666762723599
5/2016 error 8.48782203892484e-05
11/2018 error 4.5408392305714494e-05
2/2019 error 2.383428626761352e-05
2/2018 error 1.7583850777317175e-05
3/2018 error 1.302811236325882e-05
8/2017 error 2.3828963473993096e-06
