crime type: THEFT
SUM SQUARED ERROR: 0.01683586807788836
months with highest error:
2015.75 error 5.1191550141842246e-08
2018.0 error 4.2665325689956305e-07
2017.0833333333333 error 4.797190857992489e-07
2015.5 error 5.385336550917179e-07
2019.5833333333333 error 1.4237555167083457e-06
2015.4166666666667 error 2.704745490991411e-06
2015.8333333333333 error 3.1506702898543664e-06
2021.0833333333333 error 3.4092227094640928e-06
2017.25 error 3.634701831767444e-06
2021.1666666666667 error 6.28913996642275e-06
2021.0 error 6.639379634310528e-06
2018.9166666666667 error 7.017536551388848e-06
2016.9166666666667 error 7.062936577243236e-06
2021.5 error 7.563951476010803e-06
2016.1666666666667 error 7.922504239210424e-06
2020.9166666666667 error 8.426358250378627e-06
2015.9166666666667 error 1.008777714511032e-05
2018.75 error 1.4050592595691982e-05
2015.25 error 1.44625702736345e-05
2019.4166666666667 error 1.4997217293653882e-05
2021.8333333333333 error 1.8288232541564643e-05
2018.25 error 2.0005481277011546e-05
2017.0 error 2.2442972883434495e-05
2021.25 error 2.278205750480689e-05
2021.75 error 2.327326776526462e-05
2017.9166666666667 error 2.485114713152624e-05
2020.8333333333333 error 3.012150140511745e-05
2018.6666666666667 error 3.234029670992123e-05
2018.8333333333333 error 3.564903908338319e-05
2018.3333333333333 error 3.745777019177566e-05
2015.3333333333333 error 4.164988212217063e-05
2017.3333333333333 error 4.7026685328281206e-05
2018.5 error 5.0198477218748225e-05
2021.6666666666667 error 5.1623749562346243e-05
2015.6666666666667 error 5.437310651284561e-05
2017.6666666666667 error 6.506965985966707e-05
2017.1666666666667 error 6.774911913650149e-05
2018.4166666666667 error 7.190035840130318e-05
2016.3333333333333 error 7.506241755276724e-05
2020.6666666666667 error 7.829145795866003e-05
2020.75 error 8.019504614271583e-05
2020.5833333333333 error 8.098415375410708e-05
2016.0833333333333 error 8.498520131543409e-05
2018.1666666666667 error 8.508694096121276e-05
2017.4166666666667 error 8.992157988059131e-05
2021.3333333333333 error 9.34909028072464e-05
2016.25 error 0.00010281589043696975
2017.8333333333333 error 0.0001124442930361702
2019.75 error 0.00011754539170091136
2016.4166666666667 error 0.00013271667608848224
2021.4166666666667 error 0.00013411337406051764
2021.5833333333333 error 0.00014338672038662404
2019.1666666666667 error 0.0001448915688240744
2018.5833333333333 error 0.00014777906833231483
2016.8333333333333 error 0.00014829793484177689
2019.5 error 0.00014868422082864782
2016.0 error 0.00016139956695281359
2017.5 error 0.00016559305867949563
2019.25 error 0.00018037846651479072
2015.5833333333333 error 0.00019143898988807653
2017.75 error 0.00021242270203107434
2019.3333333333333 error 0.00028047720630848023
2019.6666666666667 error 0.00030447362945203063
2019.0833333333333 error 0.00030893562581298085
2015.1666666666667 error 0.0003100843423411007
2015.0 error 0.0003292047347243751
2020.5 error 0.0003336312506550823
2018.0833333333333 error 0.00039331119693071374
2020.1666666666667 error 0.0004025930288652841
2017.5833333333333 error 0.00041398271462392283
2016.5833333333333 error 0.0004199137425686394
2020.3333333333333 error 0.00043598139282103704
2020.4166666666667 error 0.0004537048868466307
2019.9166666666667 error 0.00046574484242558137
2019.0 error 0.00046790361351024985
2016.75 error 0.00047634748115305117
2020.25 error 0.0005968375589926
2019.8333333333333 error 0.0006141150156013411
2016.6666666666667 error 0.0007257606809794228
2016.5 error 0.0008231248203232383
2015.0833333333333 error 0.0010842339396356431
2020.0833333333333 error 0.0014767129760940591
2020.0 error 0.001969725812221976
