crime type: HOMICIDE
SUM SQUARED ERROR: 0.6848078732717321
months with highest error:
1/2017 error 0.04115722682687367
4/2018 error 0.03659553976107039
3/2015 error 0.0352293224864293
1/2020 error 0.03361913578892564
10/2021 error 0.029402303135089364
2/2016 error 0.027206942409887153
11/2018 error 0.024731612692678442
11/2021 error 0.024210662875941313
12/2017 error 0.020248661447972726
10/2020 error 0.019695175621441765
5/2015 error 0.018183349486178856
2/2020 error 0.01791510998349244
7/2021 error 0.017715444955984865
8/2020 error 0.01550816812271837
11/2016 error 0.015236740646540547
3/2017 error 0.01470703802000595
9/2018 error 0.014687543153988408
9/2021 error 0.014227670723459863
11/2019 error 0.01403853447720862
2/2018 error 0.01399140337785676
5/2017 error 0.013980567856970634
1/2018 error 0.01363332445878465
5/2019 error 0.013296735399767579
10/2016 error 0.011957866153971384
10/2015 error 0.011297315696806965
7/2017 error 0.010616180853994517
9/2020 error 0.01009134646562492
9/2017 error 0.009672467316698097
2/2021 error 0.009522876827604047
8/2016 error 0.009147067160032949
9/2019 error 0.008682267693817629
10/2017 error 0.008546479231168502
8/2021 error 0.0076310730474085315
7/2019 error 0.007053774065549658
11/2015 error 0.006419757157145215
4/2020 error 0.006403700404330369
5/2020 error 0.006395362941367209
8/2019 error 0.0058310259959675585
7/2015 error 0.004876532738639023
2/2015 error 0.004499253141478098
3/2021 error 0.004420656699938068
9/2016 error 0.004075562290979674
5/2021 error 0.003806219234975592
4/2015 error 0.003596044037662457
12/2018 error 0.003353070182062551
11/2017 error 0.003292915521427383
6/2020 error 0.00257092840165907
8/2017 error 0.0025645176297504407
6/2016 error 0.0024614733826229603
6/2019 error 0.0023215211897727735
12/2016 error 0.002149638612007641
7/2020 error 0.0020647867095095777
3/2019 error 0.001995800448161231
6/2015 error 0.0018324244670978056
6/2021 error 0.001824059709509236
1/2019 error 0.0017957278413330787
4/2016 error 0.001354251361591114
1/2016 error 0.0013189634490021343
12/2015 error 0.001230936446890339
3/2020 error 0.0011900347984086942
4/2021 error 0.0011227974477431323
12/2020 error 0.0009286706582441357
7/2018 error 0.0007916433485511277
2/2019 error 0.0007078127990539889
5/2016 error 0.000663464368900327
10/2019 error 0.0006561700088547949
4/2019 error 0.0006204624130975604
10/2018 error 0.0003021478839439968
7/2016 error 0.00026249288680482675
2/2017 error 0.0002570468506710874
3/2018 error 0.00024197486553064788
1/2015 error 0.00023654127270508063
4/2017 error 0.00022421297225522089
5/2018 error 0.00017594981951796473
8/2015 error 0.000174634328251204
11/2020 error 0.00015790480722979505
3/2016 error 0.00013791282500789578
6/2018 error 2.595636176111712e-05
12/2019 error 1.4650576848698301e-05
1/2021 error 9.109056846102973e-06
9/2015 error 6.6559142568273235e-06
8/2018 error 6.365407485536982e-06
6/2017 error 1.2033829371625577e-06
