crime type: INTIMIDATION
SUM SQUARED ERROR: 0.5983401195247419
months with highest error:
12/2016 error 0.06571843354876242
1/2016 error 0.04919965939529496
5/2015 error 0.0487088812363603
7/2015 error 0.04392540703082109
4/2016 error 0.028811441165089893
3/2016 error 0.027210328380357317
6/2017 error 0.026076880333024747
7/2016 error 0.0224196385855877
9/2016 error 0.019852307862251024
10/2021 error 0.01918286379204712
2/2015 error 0.018772292097469175
7/2019 error 0.018451910445357968
1/2015 error 0.01718368447361653
1/2018 error 0.01393068752702027
10/2015 error 0.013594842689200193
5/2017 error 0.01184297371213881
7/2017 error 0.010327173843675158
9/2015 error 0.009760073320537193
8/2017 error 0.00963217843691512
3/2020 error 0.00888478502943915
11/2017 error 0.007778503151368227
1/2021 error 0.007292457122749578
2/2018 error 0.006238141989303383
3/2018 error 0.006048554668631937
6/2018 error 0.005627818701267767
10/2020 error 0.00542186725243096
9/2020 error 0.005366014780428109
4/2018 error 0.005365128415204508
5/2020 error 0.0050291703215013
8/2015 error 0.005014676384142733
4/2017 error 0.00479820419524255
11/2015 error 0.0038033781247837246
11/2018 error 0.003107362830126658
2/2017 error 0.0028702219547741097
10/2018 error 0.002820837310264764
2/2019 error 0.002553734176828389
2/2016 error 0.002327400996668625
3/2019 error 0.0022596592312120437
10/2016 error 0.0020879976325075124
5/2019 error 0.0019290745620567174
6/2019 error 0.0017838992470431618
8/2019 error 0.0015296604391849405
9/2017 error 0.0014889692966814194
9/2019 error 0.0014190677588277237
10/2019 error 0.0013185399356034281
11/2019 error 0.0012274121249995142
3/2015 error 0.0011918095537763762
12/2019 error 0.0011450593828350227
1/2020 error 0.0010708966644592673
2/2020 error 0.0010043788243341563
4/2020 error 0.0008922967011015882
11/2021 error 0.0008319949994537763
6/2020 error 0.0008052498502587571
7/2020 error 0.0007701757250447763
9/2021 error 0.0007598912728763581
8/2020 error 0.0007403135056186856
8/2021 error 0.0007316671962393773
7/2021 error 0.000708311208561755
3/2017 error 0.0007023984900671821
6/2021 error 0.0006896103590246655
11/2020 error 0.0006795393190323394
5/2021 error 0.0006753915962010253
12/2020 error 0.0006682652581767759
4/2021 error 0.0006655217682748629
3/2021 error 0.0006599076224904902
2/2021 error 0.0006584958072103094
4/2015 error 0.0005578238382254322
7/2018 error 0.00032677792827747273
6/2015 error 0.00022805876379910768
12/2017 error 0.0001853518735331061
1/2017 error 0.0001715663309108182
12/2018 error 0.0001715373276194713
8/2016 error 0.00014258620449887854
9/2018 error 0.00012302441401449164
11/2016 error 0.00010954566179635617
8/2018 error 0.00010250107020127131
4/2019 error 9.737302308485857e-05
5/2016 error 6.044934109116698e-05
1/2019 error 1.4881514131765531e-05
12/2015 error 1.9608296300770085e-06
5/2018 error 8.586796818785931e-07
10/2017 error 2.7157753130832247e-07
6/2016 error 1.8053287700154101e-07
