crime type: ASSAULT
SUM SQUARED ERROR: 0.04204466761348025
months with highest error:
2/2020 error 0.003480667605392451
2/2015 error 0.0034115258311406067
8/2016 error 0.002588836153108117
1/2019 error 0.0023568109115792548
7/2019 error 0.0019822072683559283
7/2015 error 0.001965649060685568
12/2019 error 0.0015776617188994375
6/2019 error 0.0014841248493366105
8/2019 error 0.0014317544243352264
1/2020 error 0.0012951080709964692
10/2016 error 0.0010830140018389229
11/2019 error 0.000924924396273594
12/2017 error 0.000896620584421598
9/2016 error 0.0008919506293048772
4/2016 error 0.0008554610882475784
1/2017 error 0.0008342767471487631
5/2019 error 0.0007841878329657086
2/2019 error 0.0007430480350703849
10/2020 error 0.0006399846653501777
5/2015 error 0.0006216977507722158
12/2016 error 0.0006080498303321195
3/2019 error 0.0005991806314260687
6/2018 error 0.0005736590705615599
10/2019 error 0.0005579074907128551
7/2016 error 0.00051141334838799
9/2015 error 0.0004610037819843243
8/2021 error 0.00043479602102121563
10/2021 error 0.0003812749906615918
1/2015 error 0.00036532971579060416
3/2020 error 0.0003519241712066089
2/2021 error 0.0003372403940045537
9/2019 error 0.0003372386488424723
3/2015 error 0.0003343733649466779
5/2021 error 0.00032001061524550414
11/2021 error 0.00031151730251640107
12/2015 error 0.0003102421955833437
4/2020 error 0.00030938540119333584
1/2016 error 0.00029382035340767403
4/2019 error 0.0002904494812663849
9/2020 error 0.0002904450662040819
5/2017 error 0.0002713391724075968
2/2016 error 0.000253863925510267
6/2020 error 0.0002511562369421099
5/2016 error 0.00023078681270772043
5/2018 error 0.00022603451420829553
6/2021 error 0.00022216375554001265
12/2020 error 0.0001918851362181668
6/2017 error 0.00018947779752391343
3/2017 error 0.00017772677464571927
9/2021 error 0.0001564096892103569
3/2021 error 0.00014539388658209703
6/2015 error 0.00014069796305203364
9/2017 error 0.0001361268158615728
4/2018 error 0.0001351538572292297
10/2017 error 0.00013190174737988974
1/2018 error 0.00012059392121567612
8/2017 error 0.00011765620087547093
3/2016 error 0.00010926939765231601
7/2021 error 0.00010344387037153346
7/2018 error 0.00010333006183902087
7/2020 error 9.337726897232524e-05
11/2018 error 9.130764716759677e-05
10/2015 error 8.573835021091972e-05
8/2020 error 7.063140781108947e-05
2/2018 error 6.95595477871843e-05
4/2015 error 6.093045481034696e-05
8/2018 error 4.422460670707165e-05
11/2016 error 4.316314658495281e-05
10/2018 error 4.061684073780671e-05
3/2018 error 3.985599222389247e-05
2/2017 error 2.8070944634642993e-05
4/2021 error 2.8055595940589064e-05
9/2018 error 2.5662067793291582e-05
11/2017 error 2.3634077902930527e-05
12/2018 error 1.884596044371417e-05
4/2017 error 1.4826055873894067e-05
7/2017 error 1.0616113469144646e-05
11/2015 error 4.0856493394039016e-06
6/2016 error 3.1455454560935225e-06
11/2020 error 3.130995784045322e-06
8/2015 error 9.502726897781616e-07
5/2020 error 8.598755496946697e-07
1/2021 error 1.941580979884089e-07
