crime type: ARSON
SUM SQUARED ERROR: 0.18630667565504314
months with highest error:
2017.75 error 1.1956114157426222e-07
2020.5833333333333 error 2.523657619067638e-06
2021.4166666666667 error 5.920907698812837e-06
2020.25 error 8.462192532262939e-06
2018.9166666666667 error 1.0522259184888792e-05
2016.9166666666667 error 1.1274846950770434e-05
2015.6666666666667 error 1.68875182321387e-05
2020.8333333333333 error 1.727466497786809e-05
2018.6666666666667 error 2.0505679820736313e-05
2016.6666666666667 error 3.3595760934169597e-05
2018.1666666666667 error 4.66132864844663e-05
2018.3333333333333 error 7.99582564329335e-05
2015.1666666666667 error 8.559872730005523e-05
2016.0833333333333 error 9.040652746708742e-05
2019.6666666666667 error 0.00011767787536767692
2015.5 error 0.00011852800372191655
2016.75 error 0.00015650864428548575
2016.8333333333333 error 0.0001612531410978723
2017.5 error 0.00022045153123918457
2021.5833333333333 error 0.00023083065870854502
2016.4166666666667 error 0.00026119920268450003
2017.4166666666667 error 0.0002687821960404353
2019.5833333333333 error 0.0003233746601031041
2016.5833333333333 error 0.0003432354466950739
2017.25 error 0.00035160422269755207
2021.0 error 0.00039101472095024614
2021.1666666666667 error 0.0004267145353671659
2017.0833333333333 error 0.0004275012368990829
2020.4166666666667 error 0.0004289508173200778
2016.3333333333333 error 0.0004556069577623563
2020.5 error 0.0005418081993311929
2021.5 error 0.0005564682934767688
2016.25 error 0.0005943254433302824
2020.0833333333333 error 0.0006397579849721782
2015.8333333333333 error 0.0007175026176344284
2019.0833333333333 error 0.000735600111863895
2019.5 error 0.0008082226975338913
2018.0833333333333 error 0.000870073293469274
2017.1666666666667 error 0.0009012977545335419
2019.25 error 0.000937890985967089
2015.5833333333333 error 0.0010062708755487534
2017.5833333333333 error 0.0010914611046843182
2020.9166666666667 error 0.0011207861632481057
2021.6666666666667 error 0.0011814205156591008
2021.8333333333333 error 0.0012782313813162025
2016.0 error 0.0013305346248683738
2018.4166666666667 error 0.0015536241627025723
2015.3333333333333 error 0.001563016103467366
2020.0 error 0.0016037674743660905
2021.25 error 0.0017045010006456348
2018.75 error 0.0017896783818019482
2018.5833333333333 error 0.0021210552805550832
2015.4166666666667 error 0.002214447932822296
2019.1666666666667 error 0.0022314138166826107
2018.5 error 0.002233204387445411
2020.75 error 0.0022836337098611067
2018.25 error 0.0022971831178087883
2017.6666666666667 error 0.0024008661236617863
2017.8333333333333 error 0.0024283762526205056
2020.3333333333333 error 0.002455557903792146
2020.6666666666667 error 0.0024768807096230403
2021.75 error 0.002550840188161385
2020.1666666666667 error 0.0027232095990538476
2018.0 error 0.0027649079743797245
2017.9166666666667 error 0.0029130740198671044
2017.3333333333333 error 0.0029469089746242652
2018.8333333333333 error 0.003182559696556569
2015.0833333333333 error 0.0032263729327331363
2016.1666666666667 error 0.0032940392649431806
2015.25 error 0.0035041250905805993
2021.3333333333333 error 0.0035925025126464214
2019.3333333333333 error 0.004270234131973096
2015.0 error 0.004856860579014264
2015.9166666666667 error 0.005657878498255631
2017.0 error 0.0061193556364869265
2019.4166666666667 error 0.00612446850443588
2019.9166666666667 error 0.007063416026016219
2016.5 error 0.007117411416820181
2021.0833333333333 error 0.008431126484981635
2019.75 error 0.008475444322137362
2019.0 error 0.00932105943216783
2015.75 error 0.012271318966162162
2019.8333333333333 error 0.025117805300034855
