crime type: NARCOTICS
SUM SQUARED ERROR: 0.015383774616923869
months with highest error:
8/2021 error 0.0027252080473706064
7/2021 error 0.0024926987407457805
11/2021 error 0.0017340227825333291
2/2021 error 0.0007867478478755399
1/2021 error 0.0006975262467959292
12/2020 error 0.0006156247311492303
3/2021 error 0.0006024741957246341
11/2020 error 0.0005406656237924006
10/2020 error 0.0004051948589185848
9/2020 error 0.00034073720930013866
4/2021 error 0.0003346881555944026
6/2021 error 0.00032343205712206496
7/2020 error 0.0003030251956902731
8/2020 error 0.00028893618775658534
9/2021 error 0.00028570065405859375
6/2020 error 0.0002574384330232865
5/2020 error 0.00021672329141427814
4/2020 error 0.00018056718581949566
3/2020 error 0.00014866682960992803
1/2015 error 0.00013186431900529495
2/2020 error 0.00012072823501174063
2/2015 error 0.00011480250392768919
1/2020 error 9.64667132820676e-05
3/2015 error 9.135156876191414e-05
3/2018 error 6.737140883283772e-05
10/2017 error 6.33372739568359e-05
12/2017 error 6.081752353520932e-05
12/2019 error 6.044146696523855e-05
11/2017 error 6.011494355420996e-05
11/2019 error 5.788262682798353e-05
5/2017 error 5.771184373222833e-05
4/2017 error 5.664535712072672e-05
4/2015 error 5.600871830098846e-05
5/2015 error 5.4203769289449494e-05
1/2018 error 5.289344925307205e-05
1/2017 error 4.828749193638986e-05
8/2017 error 4.711827653534472e-05
7/2017 error 4.691075157693585e-05
9/2017 error 4.678615859280071e-05
6/2017 error 4.616715825725741e-05
10/2019 error 4.30371784827102e-05
3/2017 error 4.089519475497141e-05
2/2017 error 3.822904890747116e-05
2/2018 error 3.755673498775229e-05
6/2015 error 3.3420404488956864e-05
12/2016 error 3.181998354237043e-05
4/2018 error 3.1003825598587306e-05
9/2019 error 3.0823035668890496e-05
7/2015 error 2.8348282604129067e-05
11/2016 error 2.8205097636470474e-05
5/2018 error 2.7341740809640714e-05
10/2016 error 2.441749664938585e-05
6/2018 error 2.3526289519975944e-05
8/2018 error 2.265886248078222e-05
8/2019 error 2.1002003558136973e-05
9/2016 error 2.054444445618198e-05
7/2018 error 1.9646885401438565e-05
8/2016 error 1.668250375950105e-05
5/2016 error 1.545465509867773e-05
10/2018 error 1.517752689597853e-05
8/2015 error 1.5114306269994534e-05
6/2016 error 1.4841296151198993e-05
7/2019 error 1.3345186168359191e-05
7/2016 error 1.2937536000749227e-05
9/2018 error 1.2100367512746124e-05
2/2016 error 8.242799060740562e-06
6/2019 error 7.63298643125605e-06
9/2015 error 6.084760447875098e-06
11/2018 error 5.603473106691605e-06
10/2015 error 4.357623238330423e-06
4/2016 error 3.602567656170192e-06
12/2018 error 3.0709688794802035e-06
11/2015 error 2.9608091788544184e-06
3/2016 error 1.5700829889624057e-06
2/2019 error 1.4199158516345365e-06
1/2019 error 1.2062691615167575e-06
12/2015 error 8.43121476458677e-07
5/2021 error 7.44973597775514e-07
3/2019 error 1.0760372668984662e-07
4/2019 error 1.0605085345130568e-07
5/2019 error 5.942695043238925e-08
1/2016 error 2.405609140221712e-08
10/2021 error 1.7408269790556704e-08
