crime type: all
SUM SQUARED ERROR: 0.07103360405568969
months with highest error:
2018.0 error 4.348835323129976e-08
2021.3333333333333 error 1.1874806613629446e-07
2016.25 error 1.1929296306544047e-06
2018.25 error 1.3891611600229145e-06
2018.5833333333333 error 1.5592965447893833e-06
2018.3333333333333 error 1.6278308519349475e-06
2020.6666666666667 error 1.8435380770472705e-06
2018.75 error 7.828168613397769e-06
2021.0 error 9.471193481953996e-06
2020.5833333333333 error 1.1570291670457532e-05
2018.9166666666667 error 1.2622649582557646e-05
2020.8333333333333 error 1.6824876575119342e-05
2021.25 error 1.865049747627897e-05
2018.6666666666667 error 1.9723114562261466e-05
2018.5 error 2.3384700407142774e-05
2017.1666666666667 error 3.2979000298747074e-05
2021.0833333333333 error 4.376135728883225e-05
2020.9166666666667 error 4.9492498239218674e-05
2015.8333333333333 error 6.951360797552601e-05
2021.1666666666667 error 7.107903174365333e-05
2017.3333333333333 error 7.290722099680831e-05
2018.4166666666667 error 7.569817002783456e-05
2017.25 error 8.42793733567129e-05
2015.5833333333333 error 9.284910099119784e-05
2017.0833333333333 error 9.381588503510583e-05
2016.0833333333333 error 9.495355577490593e-05
2020.75 error 9.933577762454971e-05
2016.1666666666667 error 0.00012705261357856236
2016.3333333333333 error 0.00013773363844175974
2020.3333333333333 error 0.0001439820851354591
2018.8333333333333 error 0.0001898074811168241
2018.1666666666667 error 0.00019229764589029924
2020.5 error 0.00019627505535294774
2015.4166666666667 error 0.00022288853231025674
2015.6666666666667 error 0.00022621256657159833
2015.75 error 0.0002679977267450774
2015.5 error 0.00027481962377657514
2021.4166666666667 error 0.0002939820195372481
2018.0833333333333 error 0.000395011771876438
2017.6666666666667 error 0.0004400926768615093
2015.3333333333333 error 0.00044410459687841265
2017.5 error 0.00045341892292603147
2017.8333333333333 error 0.00047305521182940466
2017.4166666666667 error 0.0005162266725664522
2020.1666666666667 error 0.0005351658979772875
2021.5 error 0.0005673769192309127
2017.5833333333333 error 0.0005810218799372
2016.4166666666667 error 0.0006144689009438016
2020.4166666666667 error 0.0006741951611586424
2017.9166666666667 error 0.0006955110391043841
2021.8333333333333 error 0.0007413747589187993
2015.25 error 0.0007869557487965179
2021.6666666666667 error 0.000803583808474605
2017.0 error 0.0008375225514830088
2019.4166666666667 error 0.0008476654039858833
2017.75 error 0.0008662427411802294
2019.75 error 0.0009545597260662712
2016.0 error 0.0009742425494567253
2019.9166666666667 error 0.0010479015500784422
2021.75 error 0.0010532306372238462
2015.9166666666667 error 0.0011231318218659755
2019.5 error 0.0011605468532577086
2021.5833333333333 error 0.0011711788099744002
2019.6666666666667 error 0.001227472872085917
2019.3333333333333 error 0.001305455140226448
2019.25 error 0.0013715003390013679
2019.5833333333333 error 0.0014164647801742818
2019.0 error 0.0017056675054196889
2019.0833333333333 error 0.001762045981563763
2019.8333333333333 error 0.0018242811705879221
2016.5 error 0.0019289598397978138
2015.0 error 0.0021377451552096497
2020.25 error 0.0023356979907930525
2016.9166666666667 error 0.0023703717690038576
2019.1666666666667 error 0.0023871371317123725
2016.6666666666667 error 0.0024755525912158443
2016.8333333333333 error 0.002572336852328057
2016.75 error 0.002945227156345631
2015.1666666666667 error 0.0032943605309934737
2016.5833333333333 error 0.0035954841007454492
2020.0 error 0.0036953945688266514
2020.0833333333333 error 0.004236152922291112
2015.0833333333333 error 0.00440694499245175
