crime type: BATTERY
SUM SQUARED ERROR: 0.02955796758568158
months with highest error:
2/2020 error 0.0017938953772842425
1/2020 error 0.0016396681663103316
2/2015 error 0.0014414596391881171
12/2019 error 0.0012614048755404553
7/2016 error 0.0012286900473883215
8/2016 error 0.001154704889298497
11/2016 error 0.001108744735796063
7/2017 error 0.0010992112743247707
1/2015 error 0.0010375088443694955
3/2015 error 0.0010006163359925612
6/2020 error 0.0009897265736363234
11/2019 error 0.0009302134784365155
2/2018 error 0.0008980177726376197
3/2019 error 0.0008353620685571576
9/2016 error 0.0007226190437729995
4/2020 error 0.0006244755301759444
7/2020 error 0.0005888920179991959
1/2019 error 0.00055065349090574
8/2019 error 0.0005473895117459589
9/2017 error 0.0005260600182514233
9/2021 error 0.0005212542814825431
2/2019 error 0.00048630893956990985
9/2019 error 0.00042852977828398715
4/2019 error 0.0004271451244593148
6/2016 error 0.00041303961217293417
12/2018 error 0.0003778851107594798
10/2021 error 0.00037331382241650334
4/2021 error 0.0003653716917615784
10/2019 error 0.0003645785394771363
11/2021 error 0.0003499736332603301
5/2019 error 0.00033981422255963015
3/2020 error 0.00032752125001163856
10/2016 error 0.00032531189824864143
10/2020 error 0.0003115699940428322
11/2018 error 0.0002907675407040433
12/2016 error 0.0002264904061019848
6/2021 error 0.0002061343855728284
4/2017 error 0.00020248024520632448
5/2016 error 0.00018612449985909294
10/2015 error 0.00018441563590610962
6/2017 error 0.00016824899693850987
5/2021 error 0.00016709663475612482
2/2021 error 0.00016602994212263568
7/2015 error 0.00016388269458419695
2/2017 error 0.0001485199223517887
6/2018 error 0.00014308314580980904
5/2017 error 0.0001423809654214066
6/2019 error 0.00013927468381684792
1/2021 error 0.0001340452417593629
8/2017 error 0.00013346222067543018
1/2017 error 0.00012038989552244513
8/2021 error 0.00011320967196687813
4/2018 error 0.00010594235588937603
7/2018 error 0.00010528880375344225
12/2017 error 9.883597685133575e-05
5/2020 error 9.67580128329856e-05
10/2017 error 9.392725471033585e-05
4/2015 error 7.994509434187168e-05
8/2020 error 6.0513513630361524e-05
3/2016 error 4.98290496299069e-05
3/2017 error 4.8376631979489003e-05
6/2015 error 4.5353085375776196e-05
9/2020 error 4.253156462423114e-05
2/2016 error 4.1643686992301474e-05
10/2018 error 4.0808333013325594e-05
12/2015 error 3.594814738722145e-05
12/2020 error 2.8733062968274076e-05
7/2019 error 2.5584300386173476e-05
7/2021 error 2.2052815522781936e-05
8/2018 error 2.0630074107991e-05
11/2017 error 1.4633560170440971e-05
1/2018 error 1.3428763844314156e-05
11/2015 error 1.2469094894188467e-05
5/2015 error 9.068283564011834e-06
3/2018 error 8.465244172394265e-06
8/2015 error 8.342141084970047e-06
9/2018 error 7.496350339778964e-06
4/2016 error 5.87684293399367e-06
3/2021 error 3.059558534615274e-06
1/2016 error 2.498700653026174e-06
9/2015 error 1.3976136418559609e-06
5/2018 error 1.392696665832843e-06
11/2020 error 1.6865199096809723e-07
